Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,ATG,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,17.87376131,17.14493891,15.82889218,15.39750992,15.8049636,19.88388279,18.33999212,17.51957966,16.92039853,19.23531227,18.34170854,18.14567342,15.56663384,14.59972801,16.20240923,18.85057905,19.58529691,18.07499082,16.94873166,18.63420083,17.33998628,18.82717137,24.80754018,28.04458848,25.62568677,23.11231937,22.68529064,23.87863475,14.15873535,13.9466299,13.63283476,13.14439756,12.70745512,12.09805217,6.46677706,6.005493419,
Australia,AUS,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10510226,34.82198643,33.5935242,32.98921021,32.15836478,30.90534321,29.06861129,27.53276579,25.89828338,24.58433965,23.32174161,21.78527049,22.43682709,20.84430671,19.55622045,19.1250758,18.79699437,17.92312144,16.5836019,17.06949514,13.00981111,12.94492564,12.62786108,12.13853186,11.02616271,10.23113555,9.384546261,9.414461884,9.052795512,8.233983249,7.873539036,6.583689395,6.493313423,7.660054443
Austria,AUT,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.12744623,26.08336882,25.67503745,25.01148887,23.40187317,25.64911725,25.72920542,24.70399612,24.51313048,23.98603634,24.2551729,23.45558231,23.81235571,22.90546215,23.62718454,24.80509134,27.78390627,
Azerbaijan,AZE,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91814599,38.59755002,29.1804197,40.28245607,48.21350044,50.90128133,63.18377238,66.61620223,51.25447287,41.30839545,35.01434552,50.50183003,46.24825345,50.38656424,32.78868165,26.88527299,26.19895277,15.83079259,19.86531716,26.08705226,34.32652049,25.2346604,20.84195047,26.25590227,29.73157097,63.40389819,63.67688053,64.43920754
Burundi,BDI,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,57.35483871,55.92592593,44.79452055,62.60135135,34.00468384,38.71543265,36.0166551,33.80604498,29.8956415,48.11145511,46.16096207,31.51693667,53.65445416,65.72454015,48.35998173,43.00475867,36.42329355,23.10165648,31.55796655,34.70837317,25.57127467,14.66208676,21.21648118,27.25503425,21.8155439,10.22741214,12.19924941,20.82828415,6.436682202,8.640242492,13.32196784,12.56382246,10.84317238,9.115457698,,,,
Belgium,BEL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.81873994,23.8406562,27.002466,26.5462023,28.0964319,33.46785898,31.23798731,24.71909376,27.76763065,26.28354808,25.51239493,22.04593074,20.93644115,21.19175567,20.88360946,21.16314889,21.54669106,21.04893393,21.11606827,21.58410243,23.16399152
Benin,BEN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,79.60109414,79.99596937,67.94042862,75.67096774,74.25501203,67.963598,67.73649873,66.10920396,67.76310769,66.44257534,52.48196573,56.30252101,71.21212121,72.19730942,44.39945867,39.76715147,33.41385187,27.38177111,30.39737129,34.99065009,31.8572813,25.77096801,12.66665605,24.88666589,20.81481778,12.8730227,14.34338267,14.66552052,9.103247005,8.826701061,16.50314209,18.29252809,14.87415079,4.489250306,3.959244472,8.810586436,29.1002096,29.1522444,27.12943382,28.41863137,32.1382935,42.85011562,44.91872385,44.36730374,38.64771445,33.17758643,39.98730874,39.0158276,
Burkina Faso,BFA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.209487424,3.799087389,6.220503933,18.30337188,25.87852753,16.46713436,13.50589248,13.62180334,13.28429126,15.10754192,15.49963982,15.22278886,16.56777541,15.75250095,15.87276776,17.44665851,17.86947967,
Bangladesh,BGD,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,28.8913529,31.88122905,25.35639798,28.03595519,22.81817643,23.09277367,14.35479087,16.34763274,16.71043355,14.93295694,12.51575713,13.12478766,12.92941611,12.72180451,12.9485786,10.37080655,10.42982713,9.762589027,13.15280174,14.98295032,35.85746625,34.0541009,36.56802699,35.40773483,32.18052638,29.50359959,26.77745812,14.82154652,16.83548813,16.29578762,9.983812866,8.168922713,10.68349998,15.17021559,14.21741556,19.45531092,27.91783785,32.54522294,23.9055281,23.93811052,20.82030083,21.48418752,22.04889827,19.5597591,22.25700979,27.1626994,25.48621565
Bulgaria,BGR,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,36.26754748,40.58411215,37.65534383,35.43909348,27.36056559,28.71060172,29.59290188,28.44559585,31.64418212,27.66966476,27.52688172,49.86246562,47.46332804,36.88209682,29.89100167,34.5116669,32.1522694,31.38461538,25.59642247,29.6514335,29.68179123,30.57748297,28.75845145,26.69099075,25.77150193,27.56441005,30.48637281,23.61006997,22.7163917,20.76432131,19.74837321,20.84153325,19.89414169,21.15900495,23.51541388,20.97049399,21.08419728,21.93876081,21.46966455,20.30536619,20.3250023,19.71299819,19.97084384
Bahrain,BHR,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,16.44736842,18.08917197,19.82948847,10.71736011,13.31046312,24.25653595,17.32620321,12.76908023,15.47619048,5.098300566,4.649042844,2.909090909,20.41447572,23.68655387,26.8115942,54.74777448,55.10996119,56.44292014,54.14116687,52.17673814,50.60334761,48.98203593,41.94490818,35.74311927,31.11830704,28.67814287,24.82591661,21.07812172,36.05155938,23.04946091,21.64815833,21.30105113,20.35404624,19.43897304,19.71537661,18.92316391,22.1917366,8.314714331,8.231650084,8.222663522,8.755800718,1.596091993,1.707299937,,,,,
"Bahamas, The",BHS,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,4.012129694,3.534755134,3.839348903,3.582554517,4.268125855,3.953488372,3.640588691,3.63345521,3.702880018,3.497010328,3.594255831,3.110220441,2.848957504,2.58668516,3.303528769,3.061457619,2.703496914,1.897056772,3.060608095,3.454617102,2.643906822,3.350073104,3.810905255,3.374767985,2.795765238,2.820787118,2.826318681,2.795130586,2.501820616,2.261924753,2.388908076,2.241609065,2.114412019,3.428164225,4.813708155,5.377897408,4.670255695,4.844754968,4.564816408,3.806029778,2.422527139,2.521722857,1.877624011,1.851533218,3.606150619,3.44358015,
Bosnia and Herzegovina,BIH,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.194799514,5.374951032,6.305138222,5.976266532,6.544274746,6.519538606,6.291911498,11.22132215,11.44882882,14.38694436,15.08520721,16.25788674,16.57355518,19.34613162,19.1524717,20.61734214,20.13351902,20.58681597,19.88326294,21.69847348,21.43311628,20.42499637,26.25010249,22.7727612,22.12795155
Belarus,BLR,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.13737155,73.0708035,64.84224082,52.67857143,53.99020142,52.99785867,62.38446082,58.45738835,55.66054398,53.63725269,51.11811586,52.99783661,57.69098417,64.50532495,66.35904383,65.31441048,61.44299367,62.49531113,63.06801994,57.29049794,51.22424049,47.98640762,44.79616955,43.57665724,44.65162297,44.49913801,41.75819608,41.90145258,42.36178405,
